"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","284","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","When I add ""Update test suites"" in the todo list","When I add ""Update test suites"" in the todo list",""
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","92","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","Given I am on the todolist page","Given I am on the todolist page",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","129","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","Then I verify ""My test todo"" is showing in todo list","Then I verify ""My test todo"" is showing in todo list",""
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","134","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","Then I verify ""Practice cp"" is showing in todo list","Then I verify ""Practice cp"" is showing in todo list",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","305","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","When I add ""My test todo"" in the todo list","When I add ""My test todo"" in the todo list",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","0","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","","",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","118","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","Then I verify ""My test todo"" is deleted","Then I verify ""My test todo"" is deleted",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","135","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","And I click on delete todo button","And I click on delete todo button",""
"passed","Mon Sep 19 07:46:07 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","284","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","When I add ""Practice cp"" in the todo list","When I add ""Practice cp"" in the todo list",""
"passed","Mon Sep 19 07:46:07 GMT 2022","Mon Sep 19 07:46:07 GMT 2022","641","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","When I add ""Swiming for one hour"" in the todo list","When I add ""Swiming for one hour"" in the todo list",""
"passed","Mon Sep 19 07:46:09 GMT 2022","Mon Sep 19 07:46:09 GMT 2022","184","","Verify Todo List features: Delete latest todo item from the list","","Verify Todo List features: Delete latest todo item from the list","When I check ""My test todo"" from the todo list","When I check ""My test todo"" from the todo list",""
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","1","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","","",""
"passed","Mon Sep 19 07:46:07 GMT 2022","Mon Sep 19 07:46:07 GMT 2022","136","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","Then I verify ""Swiming for one hour"" is showing in todo list","Then I verify ""Swiming for one hour"" is showing in todo list",""
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","106","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","Given I am on the todolist page","Given I am on the todolist page",""
"passed","Mon Sep 19 07:46:08 GMT 2022","Mon Sep 19 07:46:08 GMT 2022","132","","Verify Todo List features: Add Todo item to the todo list","","Verify Todo List features: Add Todo item to the todo list","Then I verify ""Update test suites"" is showing in todo list","Then I verify ""Update test suites"" is showing in todo list",""
